,pinball_mean,coverage_80,median_width_80
Transformer-Q,0.009418150737410143,0.8016068369336196,0.0610591396689415
GRU-Q,0.009418958582371947,0.8121221668668649,0.06357069313526154
LightGBM-Q,0.009431411610790178,0.80121300435185,0.062374392788649285
VolScaled-Q,0.009618480840909903,0.792784987101983,0.06848672084778346
